State,District,Latitude,Longitude,Population,Male Population,Female population,Literate,Male Literate,Female Literate,SC,Male SC,Female SC,ST,Male ST,Female ST,Workers,Male Workers,Female Workers,Non Workers,Agricultural Workers,Other Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,LPG PNG Households,Housholds with Electricity,Households with Internet,Households with Computer,Below Primary Education,Primary Education,Secondary Education,Graduate Education,Other Education,Age 0-29,Age 30-49,Above 50,Households with Television,Households with Telephone Mobile Phone,Sex Ratio,Literacy Rate,Male Unliterate,Female Unliterate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,1369597,1371642,1483347,856350,626997,488596,242844,245752,495794,247472,248322,1323667,748939,574728,1417572,484912,390357,2399901,275970,15422,1377,25510,617,322,194954,566108,5512,45202,232470,344167,225957,100226,19277,1536378,704551,422522,306433,403530,100.0,54.0,513247,744645
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,2064495,2016653,2310960,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,2044982,879537,638033,3599372,443456,20463,932,341,1417,309,223016,897970,8606,48299,462273,720357,331793,144915,23341,2189396,1104565,739612,559461,581087,98.0,57.0,726021,1044167
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,2090204,2083860,2667878,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,2240707,748093,693451,3737588,397870,24129,867,253,1322,358,324406,944555,13763,67087,522961,770836,548336,246409,36017,2148179,1159053,807430,611465,632803,100.0,64.0,605410,900776
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,2569688,2584608,3288577,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,3060615,1122046,753375,4983330,77777,77825,738,413,4149,403,479914,1297273,22411,93784,669420,947606,521562,263023,47702,2724328,1478954,948122,821421,732492,101.0,64.0,852755,1012964
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,2440521,2447292,2960441,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,2506189,1227956,803891,4217597,559770,89763,764,323,3282,332,648568,1186028,19383,80434,736270,845810,453446,221924,30279,2583462,1371811,928462,816849,733133,100.0,61.0,805795,1121577
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,2018575,1924748,2892155,1542688,1349467,247927,124313,123614,48937,25556,23381,1413297,1045585,367712,2530026,23029,1315803,2046051,1713405,87522,11446,1268,19560,1929,581509,869721,149034,274653,230962,596591,811501,558090,45937,2249130,1068243,542669,746818,799174,95.0,73.0,475887,575281
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,1880800,1895469,2206829,1257238,949591,709757,352481,357276,106745,53495,53250,1876768,1049463,827305,1899501,756859,591179,3491139,244723,24979,2086,332,312,115,344667,926768,8831,46584,340372,453505,463403,256633,35312,1940234,1031735,728494,589283,691495,101.0,58.0,623562,945878
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,1390988,1406382,1630234,901640,728594,462896,229905,232991,765565,378532,387033,1410062,802906,607156,1387308,804537,360754,2595321,158887,33463,655,217,459,539,219710,668519,8628,42171,295639,346118,238811,160804,25456,1530602,774583,477955,416734,427722,101.0,58.0,489348,677788
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,2267375,2250023,3009718,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,2468518,1006976,843294,4023678,307043,145598,1393,863,6320,906,632890,1163932,30438,101450,618101,692968,531821,328454,54728,2340943,1284630,833959,794346,743696,99.0,67.0,668416,839264
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,2039227,2014236,2127161,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,2024038,1037302,620378,3328380,670737,33165,737,255,2235,434,195001,816721,10081,56478,521327,672951,271828,115504,19282,2368684,1053618,609027,543044,572406,99.0,52.0,792858,1133444
